Cpu,Gpu,Memory,Price,Cpu_Value,Cpu_Generation,Memory_Type,Gpu_Category,Price_USD
Intel Core i5 2.3GHz,intel iris plus graphics 640,SSD,71378.6832,1,Intel Core i5,1,Card onboard,842.2684617599999
Intel Core i5 1.8GHz,intel hd graphics 6000,Flash Storage,47895.5232,1,Intel Core i5,0,Card onboard,565.16717376
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,30636.0,1,Intel Core i5,1,Card onboard,361.5048
Intel Core i7 2.7GHz,amd radeon pro 455,SSD,135195.336,1,Intel Core i7,1,Khác,1595.3049648
Intel Core i5 3.1GHz,intel iris plus graphics 650,SSD,96095.808,1,Intel Core i5,1,Card onboard,1133.9305344
AMD A9-Series 9420 3GHz,amd radeon r5,HDD,21312.0,2,Other,2,Khác,251.4816
Intel Core i7 2.2GHz,intel iris pro graphics,Flash Storage,114017.6016,1,Intel Core i7,0,Card onboard,1345.40769888
Intel Core i5 1.8GHz,intel hd graphics 6000,Flash Storage,61735.536,1,Intel Core i5,0,Card onboard,728.4793248
Intel Core i7 8550U 1.8GHz,nvidia geforce mx150,SSD,79653.6,1,Intel Core i7,1,Card rời,939.9124800000001
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,41025.6,1,Intel Core i5,1,Card onboard,484.10207999999994
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,HDD,20986.992,1,Intel Core i5,2,Card onboard,247.64650559999998
Intel Core i3 6006U 2GHz,intel hd graphics 520,HDD,18381.0672,1,Intel Core i3,2,Card onboard,216.89659296000002
Intel Core i7 2.8GHz,amd radeon pro 555,SSD,130001.6016,1,Intel Core i7,1,Khác,1534.0188988799998
Intel Core i3 6006U 2GHz,amd radeon r5 m430,SSD,26581.392,1,Intel Core i3,1,Khác,313.6604256
Intel Core M m3 1.2GHz,intel hd graphics 615,SSD,67260.672,1,Other,1,Card onboard,793.6759296
Intel Core i5 2.3GHz,intel iris plus graphics 640,SSD,80908.344,1,Intel Core i5,1,Card onboard,954.7184592
Intel Core i7 7500U 2.7GHz,amd radeon r5 m430,SSD,39693.6,1,Intel Core i7,1,Khác,468.38448
Intel Core i7 2.9GHz,amd radeon pro 560,SSD,152274.24,1,Intel Core i7,1,Khác,1796.836032
Intel Core i3 7100U 2.4GHz,nvidia geforce 940mx,HDD,26586.72,1,Intel Core i3,2,Card rời,313.723296
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,52161.12,1,Intel Core i5,1,Card onboard,615.501216
Intel Core i5 7300HQ 2.5GHz,nvidia geforce gtx 1050,SSD +  HDD,53226.72,1,Intel Core i5,1,Card rời,628.075296
AMD E-Series E2-9000e 1.5GHz,amd radeon r2,HDD,13746.24,2,Other,2,Khác,162.20563199999998
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,43636.32,1,Intel Core i5,1,Card onboard,514.908576
Intel Core i7 8550U 1.8GHz,intel hd graphics 620,SSD,35111.52,1,Intel Core i7,1,Card onboard,414.31593599999997
Intel Core i3 6006U 2GHz,intel hd graphics 520,HDD,22305.1392,1,Intel Core i3,2,Card onboard,263.20064256
Intel Core i5 1.6GHz,intel hd graphics 6000,Flash Storage,58554.72,1,Intel Core i5,0,Card onboard,690.945696
Intel Core i5 8250U 1.6GHz,amd radeon 530,SSD,42624.0,1,Intel Core i5,1,Khác,502.9632
Intel Core i7 8650U 1.9GHz,intel uhd graphics 620,SSD +  SSD,69157.44,1,Intel Core i7,1,Card onboard,816.0577920000001
Intel Core i5 8250U 1.6GHz,nvidia geforce 930mx,HDD,47738.88,1,Intel Core i5,2,Card rời,563.3187839999999
Intel Atom x5-Z8300 1.44GHz,intel hd graphics,Flash Storage,13053.0672,1,Other,0,Card onboard,154.02619296
AMD E-Series E2-6110 1.5GHz,amd radeon r2,Flash Storage,10602.72,2,Other,0,Khác,125.112096
